QUESTIONID,FORMAT,DIFFICULTY,TOPIC,QUESTION,CHOICES,ANSWER,TOTALSCORE
Q001,MCQ,INTERMEDIATE,Arrays,What is the time complexity of accessing an element in an array?,A. O(1);B. O(n);C. O(log n);D. O(n^2),A,10
Q002,MCQ,EASY,Arrays,Which statement is true about arrays in C++?,A. Arrays can only store elements of the same data type;B. Arrays automatically resize when elements are added;C. Elements in an array cannot be accessed randomly;D. Arrays cannot be passed to functions by value or reference,A,5
Q003,TrueFalse,INTERMEDIATE,Arrays,In C++ the size of an array must be known at compile time.,,FALSE,10
Q004,MCQ,EASY,Arrays,What is the index of the first element in an array of size n in C++?,A. 0;B. 1;C. -1;D. n,A,5
Q005,FillinTheBlank,INTERMEDIATE,Arrays,In C++ to declare an array of integers named 'arr' with 5 elements we use the syntax int ______[5];,,arr,10
Q006,MultipleCorrect,HARD,Arrays,Which statements about multidimensional arrays are true?,A. Multidimensional arrays in C++ can have more than two dimensions;B. The elements in a multidimensional array are stored in a contiguous block of memory;C. The size of each dimension in a multidimensional array must be specified when declaring the array;D. Multidimensional arrays cannot be initialized at the time of declaration,A;B;C,15
Q007,MCQ,EASY,Arrays,Which data structure is typically used to implement arrays in C++?,A. Linked list;B. Array;C. Stack;D. Queue,B,5
Q008,FillinTheBlank,HARD,Arrays,In C++ the number of elements in a static array cannot be changed after its declaration because arrays are _______.,,fixed-size,15
Q009,MCQ,EASY,Arrays,What is the maximum number of dimensions an array can have in C++?,A. 1;B. 2;C. 3;D. There is no maximum,B,5
Q010,TrueFalse,INTERMEDIATE,Arrays,In C++ an array variable holds the memory address of the first element of the array.,,TRUE,10
Q011,MCQ,HARD,Arrays,What is the time complexity of deleting an element from an array in the worst case?,A. O(1);B. O(log n);C. O(n);D. O(n^2),C,15
Q012,FillinTheBlank,INTERMEDIATE,Arrays,In C++ to access the third element of an array named 'arr' we use the syntax arr[______].,,2,10
Q013,MultipleCorrect,HARD,Arrays,Which statements are advantages of using arrays in C++?,A. Arrays allow for random access to elements;B. Arrays are suitable for storing large amounts of data;C. Arrays are flexible and can be resized dynamically;D. Arrays have a fixed size and cannot grow or shrink,A;B,15
Q014,MCQ,INTERMEDIATE,Arrays,What is the time complexity of searching for an element in an unsorted array of size n in the worst case using linear search?,A. O(1);B. O(log n);C. O(n);D. O(n^2),C,10
Q015,TrueFalse,EASY,Arrays,Arrays in C++ can contain elements of different data types.,,FALSE,5
Q016,MCQ,HARD,Arrays,What is the space complexity of creating a new array of size n in C++?,A. O(1);B. O(log n);C. O(n);D. O(n^2),C,15
Q017,FillinTheBlank,EASY,Arrays,In C++ to declare an array of characters named 'str' with a size of 50 elements we use the syntax char ______[50];,,str,5
Q018,MCQ,INTERMEDIATE,Arrays,Which statements about arrays are true in C++?,A. Arrays are always passed to functions by value;B. Arrays can store elements of different data types;C. Arrays have a fixed size determined at runtime;D. Arrays are always initialized with default values,A,10
Q019,TrueFalse,EASY,Arrays,In C++ array indices start from 1.,,FALSE,5
Q020,MCQ,INTERMEDIATE,Arrays,What is the time complexity of inserting an element at the end of an array in the worst case?,A. O(1);B. O(log n);C. O(n);D. O(n^2),A,10
Q021,TrueFalse,HARD,Arrays,In C++ arrays can be resized dynamically using the 'resize' function.,,FALSE,15
Q022,FillinTheBlank,EASY,Arrays,In C++ to declare an array of floating-point numbers named 'floatArray' with 10 elements we use the syntax float ______[10];,,floatArray,5
Q023,MCQ,INTERMEDIATE,Arrays,What is the time complexity of copying one array into another array of size n in C++?,A. O(1);B. O(log n);C. O(n);D. O(n^2),C,10
Q024,TrueFalse,HARD,Arrays,In C++ arrays can have a negative size if declared as a signed integer.,,FALSE,15
Q025,MultipleCorrect,INTERMEDIATE,Arrays,Which operations can be performed on arrays in C++?,A. Accessing elements by index;B. Inserting elements at arbitrary positions;C. Deleting elements from arbitrary positions;D. Resizing the array,A;C,10
Q026,MCQ,EASY,Class & Struct,Which statement is true about structures in C++?,A. Structures can have member functions;B. Structures cannot have member variables;C. Structures cannot have constructors;D. Structures are not user-defined types,A,5
Q027,FillinTheBlank,INTERMEDIATE,Class & Struct,In C++ to define a class named 'Person' with a member variable 'name' of type 'string' we use the syntax class ______ { string name; };,,Person,10
Q028,TrueFalse,INTERMEDIATE,Class & Struct,In C++ a class and a struct are essentially the same thing.,,TRUE,10
Q029,MCQ,EASY,Class & Struct,In C++ which keyword is used to declare a class?,A. class;B. struct;C. public;D. private,A,5
Q030,FillinTheBlank,INTERMEDIATE,Class & Struct,In C++ to define a constructor for a class named 'Car' we use the syntax Car::Car() { ______ },,Car,10
Q031,MultipleCorrect,HARD,Class & Struct,Which statements about classes and structs in C++ are true?,A. Classes have private access by default;B. Structs have public access by default;C. Classes can have member functions;D. Structs cannot have constructors,A;C,15
Q032,MCQ,EASY,Class & Struct,Which statement is true about access specifiers in C++ classes?,A. Access specifiers define the order in which members are initialized;B. Access specifiers determine the visibility of class members;C. Access specifiers are optional in class definitions;D. Access specifiers are used to define the size of class objects,B,5
Q033,TrueFalse,INTERMEDIATE,Class & Struct,In C++ private members of a class cannot be accessed by member functions of other instances of the same class.,,TRUE,10
Q034,MCQ,EASY,Class & Struct,In C++ which keyword is used to access the members of a class or struct from within the class itself?,A. self;B. this;C. current;D. itself,B,5
Q035,FillinTheBlank,HARD,Class & Struct,In C++ to declare a friend function named 'display' in a class named 'Rectangle' we use the syntax friend ______;,,display,15
Q036,MultipleCorrect,INTERMEDIATE,Class & Struct,Which characteristics are true for classes in C++?,A. Classes can have constructors;B. Classes can have member functions;C. Classes can have member variables;D. Classes cannot inherit from other classes,A;B;C,10
Q037,MCQ,EASY,Class & Struct,In C++ which keyword is used to inherit a class publicly?,A. extend;B. inheritance;C. public;D. inherit,C,5
Q038,TrueFalse,INTERMEDIATE,Class & Struct,In C++ classes support multiple inheritance.,,TRUE,10
Q039,MCQ,EASY,Class & Struct,In C++ which keyword is used to prevent inheritance of a class?,A. final;B. sealed;C. const;D. private,A,5
Q040,FillinTheBlank,HARD,Class & Struct,In C++ to define a destructor for a class named 'Book' we use the syntax Book::~Book() { ______ },,~Book,15
Q041,MCQ,EASY,Pointers,What is the value of a pointer in C++ if it has not been initialized?,A. NULL;B. 0;C. Undefined;D. Garbage value,B,5
Q042,FillinTheBlank,INTERMEDIATE,Pointers,In C++ to declare a pointer to an integer named 'ptr' we use the syntax int *______;,,ptr,10
Q043,TrueFalse,INTERMEDIATE,Pointers,In C++ pointers can only store memory addresses of variables of the same data type.,,TRUE,10
Q044,MCQ,EASY,Pointers,What is the size of a pointer in C++?,A. Depends on the data type it points to;B. 1 byte;C. 4 bytes;D. 8 bytes,C,5
Q045,FillinTheBlank,HARD,Pointers,In C++ to allocate memory for an array of 10 integers dynamically we use the syntax int *arr = new int[______];,,10,15
Q046,MultipleCorrect,INTERMEDIATE,Pointers,Which operations can be performed on pointers in C++?,A. Dereferencing;B. Pointer arithmetic;C. Comparing pointers with logical operators;D. Pointers can be resized,A;B;C,10
Q047,MCQ,EASY,Pointers,Which statement is true about pointers in C++?,A. Pointers cannot be assigned to NULL;B. Pointers cannot be passed to functions;C. Pointers can be used to allocate dynamic memory;D. Pointers have a fixed size,C,5
Q048,TrueFalse,INTERMEDIATE,Pointers,In C++ a pointer can be used to access the memory location of another pointer.,,TRUE,10
